source,x,N,ag2,mg
DMRG,4,8,0.25,0.940687589
DMRG,4,10,0.25,0.862623753
DMRG,4,12,0.25,0.814452607
DMRG,4,14,0.25,0.782574098
DMRG,4,16,0.25,0.760330913
DMRG,4,18,0.25,0.744177816
DMRG,4,20,0.25,0.732079503
DMRG,8,8,0.125,1.149549128
DMRG,8,10,0.125,1.009881206
DMRG,8,12,0.125,0.920465642
DMRG,8,14,0.125,0.859971306
DMRG,8,16,0.125,0.817197017
DMRG,8,18,0.125,0.785837969
DMRG,8,20,0.125,0.762151758
DMRG,12,8,0.083333333,1.336700233
DMRG,12,10,0.083333333,1.150907791
DMRG,12,12,0.083333333,1.029139777
DMRG,12,14,0.083333333,0.945117286
DMRG,12,16,0.083333333,0.88480355
DMRG,12,18,0.083333333,0.840098884
DMRG,12,20,0.083333333,0.806063793
DMRG,16,8,0.0625,1.503441248
DMRG,16,10,0.0625,1.279965967
DMRG,16,12,0.0625,1.131462267
DMRG,16,14,0.0625,1.027620791
DMRG,16,16,0.0625,0.952198195
DMRG,16,18,0.0625,0.895745249
DMRG,16,20,0.0625,0.852429177
DMRG,24,8,0.041666667,1.793375573
DMRG,24,10,0.041666667,1.508536509
DMRG,24,12,0.041666667,1.316433308
DMRG,24,14,0.041666667,1.180012627
DMRG,24,16,0.041666667,1.079420482
DMRG,24,18,0.041666667,1.003071226
DMRG,24,20,0.041666667,0.943761691
DMRG,32,8,0.03125,2.043658218
DMRG,32,10,0.03125,1.70830092
DMRG,32,12,0.03125,1.480402336
DMRG,32,14,0.03125,1.317201457
DMRG,32,16,0.03125,1.195806721
DMRG,32,18,0.03125,1.102862496
DMRG,32,20,0.03125,1.030056177
DMRG,48,8,0.020833333,2.470178324
DMRG,48,10,0.020833333,2.051571875
DMRG,48,12,0.020833333,1.764926234
DMRG,48,14,0.020833333,1.557874469
DMRG,48,16,0.020833333,1.402411008
DMRG,48,18,0.020833333,1.282210258
DMRG,48,20,0.020833333,1.18711426
DMRG,64,8,0.015625,2.83360484
DMRG,64,10,0.015625,2.345712889
DMRG,64,12,0.015625,2.010357172
DMRG,64,14,0.015625,1.767058986
DMRG,64,16,0.015625,1.583489031
DMRG,64,18,0.015625,1.440810177
DMRG,64,20,0.015625,1.327306856
DMRG,4,30,0.25,0.701162566
DMRG,4,40,0.25,0.689405119
DMRG,4,60,0.25,0.680603938
DMRG,4,80,0.25,0.677417274
DMRG,8,30,0.125,0.700331324
DMRG,8,40,0.125,0.67603851
DMRG,8,60,0.125,0.657506678
DMRG,8,80,0.125,0.650729833
DMRG,12,30,0.083333333,0.71604232
DMRG,12,40,0.083333333,0.679944576
DMRG,12,60,0.083333333,0.651925756
DMRG,12,80,0.083333333,0.641564084
DMRG,16,30,0.0625,0.736391877
DMRG,16,40,0.0625,0.689134714
DMRG,16,60,0.0625,0.651946824
DMRG,16,80,0.0625,0.638043165
DMRG,24,30,0.041666667,0.781201484
DMRG,24,40,0.041666667,0.71320678
DMRG,24,60,0.041666667,0.658582711
DMRG,24,80,0.041666667,0.637770449
DMRG,32,30,0.03125,0.826885626
DMRG,32,40,0.03125,0.739921904
DMRG,32,60,0.03125,0.668904058
DMRG,32,80,0.03125,0.641430848
DMRG,48,30,0.020833333,0.915242636
DMRG,48,40,0.020833333,0.794610208
DMRG,48,60,0.020833333,0.693371314
DMRG,48,80,0.020833333,0.653261722
DMRG,64,30,0.015625,0.997958645
DMRG,64,40,0.015625,0.848073546
DMRG,64,60,0.015625,0.719434452
DMRG,64,80,0.015625,0.667479286
