source,x,N,ag2,mg,E0,E1,gap,dim
ED,4.0,8,0.25,0.9406875894287734,-17.02130583316397,-13.258555475448878,3.7627503577150936,70
ED,4.0,10,0.25,0.8626237531768428,-21.592635688731352,-18.14214067602398,3.4504950127073712,252
ED,4.0,12,0.25,0.8144526069630036,-26.17431570502604,-22.916505277174025,3.2578104278520144,924
ED,4.0,14,0.25,0.7825740984357834,-30.761405786309595,-27.63110939256646,3.1302963937431336,3432
ED,4.0,16,0.25,0.7603309131234024,-35.35128342307425,-32.30995977058064,3.0413236524936096,12870
ED,4.0,18,0.25,0.7441778157798229,-39.94258477295069,-36.9658735098314,2.9767112631192916,48620
ED,4.0,20,0.25,0.7320795025169193,-44.53460978030139,-41.60629177023371,2.9283180100676773,184756
ED,8.0,8,0.125,1.1495491275648182,-35.88796639372389,-29.385134526458593,6.5028318672653,70
ED,8.0,10,0.125,1.0098812057214936,-45.468182486267175,-39.755431696199054,5.712750790068121,252
ED,8.0,12,0.125,0.9204656415396486,-55.067931028376265,-49.86099105252097,5.206939975855292,924
ED,8.0,14,0.125,0.8599713059045796,-64.6805241238185,-59.81579178757067,4.864732336247833,3432
ED,8.0,16,0.125,0.8171970174191854,-74.30157544880153,-69.67881102814131,4.622764420660218,12870
ED,8.0,18,0.125,0.7858379689903567,-83.92814970809056,-79.482778853795,4.445370854295561,48620
ED,8.0,20,0.125,0.7621517583539883,-93.55829821055994,-89.24691679755709,4.311381413002849,184756
ED,12.0,8,0.08333333333333333,1.336700233057863,-54.85353277185934,-45.59260189927783,9.260930872581511,70
ED,12.0,10,0.08333333333333333,1.1509077910376986,-69.47257736406783,-61.4988542884512,7.973723075616633,252
ED,12.0,12,0.08333333333333333,1.0291397765624957,-84.1162256401244,-76.9861361157391,7.130089524385298,924
ED,12.0,14,0.08333333333333333,0.945117285776489,-98.77687290396972,-92.22890827166383,6.5479646323058915,3432
ED,12.0,16,0.08333333333333333,0.8848035498340209,-113.44966969268208,-107.31957088056278,6.1300988121193,12870
ED,12.0,18,0.08333333333333333,0.8400988839221994,-128.13120566839734,-122.31082986705671,5.8203758013406315,48620
ED,12.0,20,0.08333333333333333,0.8060637932427627,-142.81900519280458,-137.23443141665194,5.584573776152638,184756
ED,16.0,8,0.0625,1.5034412482230017,-73.85057004940369,-61.82304006361967,12.027529985784014,70
