cut,level_index,lambda,xi,model,N,m_over_g,x,chi
10,0,0.8999430852890232,0.21084751245044162,schwinger,20,0.125,4.0,64
10,1,0.4284958082978983,1.6949486465215293,schwinger,20,0.125,4.0,64
10,2,0.07004880890430293,5.31712601970227,schwinger,20,0.125,4.0,64
10,3,0.03856529567699888,6.51080496529553,schwinger,20,0.125,4.0,64
10,4,0.009202238456354171,9.376617028098112,schwinger,20,0.125,4.0,64
10,5,0.003462781605449817,11.331366161363967,schwinger,20,0.125,4.0,64
10,6,0.001437863186653049,13.08919433123815,schwinger,20,0.125,4.0,64
10,7,0.0006189021311896628,14.775126811425496,schwinger,20,0.125,4.0,64
10,8,0.0005922011395092555,14.863328436203972,schwinger,20,0.125,4.0,64
10,9,0.0004329349659036351,15.489846070919997,schwinger,20,0.125,4.0,64
10,10,6.122433010658651e-05,19.401931793374285,schwinger,20,0.125,4.0,64
10,11,3.7701461604901415e-05,20.37162338980208,schwinger,20,0.125,4.0,64
10,12,2.5731669557727534e-05,21.1355760923686,schwinger,20,0.125,4.0,64
10,13,2.4316899064412134e-05,21.24867802914199,schwinger,20,0.125,4.0,64
10,14,1.847532017942013e-05,21.798149521730032,schwinger,20,0.125,4.0,64
10,15,1.6318279497615548e-05,22.046449273851852,schwinger,20,0.125,4.0,64
10,16,1.0558244470085124e-05,22.91720707373854,schwinger,20,0.125,4.0,64
10,17,3.971140891073782e-06,24.87291425289225,schwinger,20,0.125,4.0,64
10,18,3.019542109121211e-06,25.420810715138362,schwinger,20,0.125,4.0,64
10,19,2.4882156340943285e-06,25.807889434381753,schwinger,20,0.125,4.0,64
10,20,1.2929868851678744e-06,27.117111202348546,schwinger,20,0.125,4.0,64
10,21,1.2904003418893997e-06,27.12111609037412,schwinger,20,0.125,4.0,64
10,22,7.16481432701404e-07,28.297827007797892,schwinger,20,0.125,4.0,64
10,23,5.273704732085744e-07,28.910725100335807,schwinger,20,0.125,4.0,64
10,24,2.6691479043536473e-07,30.272672732854787,schwinger,20,0.125,4.0,64
10,25,2.0615014823943677e-07,30.7893221174169,schwinger,20,0.125,4.0,64
10,26,1.1401435851422092e-07,31.973882889208113,schwinger,20,0.125,4.0,64
10,27,9.159717169477727e-08,32.41173088487518,schwinger,20,0.125,4.0,64
10,28,8.706899674639912e-08,32.51312993310395,schwinger,20,0.125,4.0,64
10,29,7.061657617965155e-08,32.932001859852086,schwinger,20,0.125,4.0,64
10,30,5.273289476668118e-08,33.51605277400603,schwinger,20,0.125,4.0,64
10,31,5.155599663964343e-08,33.5611946131653,schwinger,20,0.125,4.0,64
10,32,4.607176307391339e-08,33.786131178546405,schwinger,20,0.125,4.0,64
10,33,4.5415430226567276e-08,33.814827833621834,schwinger,20,0.125,4.0,64
10,34,4.0711568064657574e-08,34.03350711450004,schwinger,20,0.125,4.0,64
10,35,4.06534747275446e-08,34.03636305090667,schwinger,20,0.125,4.0,64
10,36,1.9695665108767976e-08,35.485734541312354,schwinger,20,0.125,4.0,64
10,37,1.728895090355001e-08,35.746396431157024,schwinger,20,0.125,4.0,64
10,38,1.2385852854689956e-08,36.41342182894248,schwinger,20,0.125,4.0,64
10,39,8.241231459165965e-09,37.228232110527,schwinger,20,0.125,4.0,64
10,40,8.179437138816513e-09,37.243284996269736,schwinger,20,0.125,4.0,64
10,41,6.547266599230348e-09,37.688436374986395,schwinger,20,0.125,4.0,64
10,42,5.295735104025788e-09,38.11272807536934,schwinger,20,0.125,4.0,64
10,43,2.7166713374715827e-09,39.44771695809707,schwinger,20,0.125,4.0,64
10,44,2.3186581636273003e-09,39.764554392679955,schwinger,20,0.125,4.0,64
10,45,1.6016877400461579e-09,40.504415852244016,schwinger,20,0.125,4.0,64
10,46,1.4208666516440292e-09,40.74399766688478,schwinger,20,0.125,4.0,64
10,47,1.3714936096011181e-09,40.81473092996983,schwinger,20,0.125,4.0,64
10,48,1.216621468684152e-09,41.05437621547377,schwinger,20,0.125,4.0,64
10,49,9.153408374987061e-10,41.62344924003068,schwinger,20,0.125,4.0,64
10,50,6.416664318894307e-10,42.33390504752288,schwinger,20,0.125,4.0,64
10,51,5.639535352102334e-10,42.59209850440657,schwinger,20,0.125,4.0,64
10,52,5.156605024513901e-10,42.771145015941634,schwinger,20,0.125,4.0,64
10,53,4.1123900506992616e-10,43.223693099197284,schwinger,20,0.125,4.0,64
10,54,3.7804488265426174e-10,43.39201638035415,schwinger,20,0.125,4.0,64
10,55,3.6423991550093154e-10,43.46641671377878,schwinger,20,0.125,4.0,64
10,56,3.507973084359966e-10,43.54162505621069,schwinger,20,0.125,4.0,64
10,57,2.168514017196334e-10,44.50361756332475,schwinger,20,0.125,4.0,64
10,58,1.728680657194535e-10,44.95698487655389,schwinger,20,0.125,4.0,64
10,59,1.3866079557174632e-10,45.39798096971714,schwinger,20,0.125,4.0,64
10,60,1.3346586724049362e-10,45.47435069376024,schwinger,20,0.125,4.0,64
10,61,1.2529413239320562e-10,45.6007141671781,schwinger,20,0.125,4.0,64
