cut,level_index,lambda,xi,model,N,J,g,chi
10,0,0.920037691545634,0.1666812814138386,tfim,20,1.0,1.0,64
10,1,0.3886238976249482,1.89028649442157,tfim,20,1.0,1.0,64
10,2,0.04597384244434637,6.159365373491446,tfim,20,1.0,1.0,64
10,3,0.01941934988500222,7.882970586499485,tfim,20,1.0,1.0,64
10,4,0.003104631505433997,11.549720496876994,tfim,20,1.0,1.0,64
10,5,0.0013113962692953478,13.273325709929352,tfim,20,1.0,1.0,64
10,6,0.00015513694814229577,17.542404589463303,tfim,20,1.0,1.0,64
10,7,0.00013049790228633122,17.88830681152993,tfim,20,1.0,1.0,64
10,8,6.552984296874838e-05,19.26600980248375,tfim,20,1.0,1.0,64
10,9,5.512231052800359e-05,19.611912027990222,tfim,20,1.0,1.0,64
10,10,6.5209174106655264e-06,23.880990969533492,tfim,20,1.0,1.0,64
10,11,3.444283319248444e-06,25.15758942038439,tfim,20,1.0,1.0,64
10,12,2.7544353451281235e-06,25.604596185524308,tfim,20,1.0,1.0,64
10,13,1.4548650295526063e-06,26.88119484967535,tfim,20,1.0,1.0,64
10,14,4.403599987921374e-07,29.271346530974213,tfim,20,1.0,1.0,64
10,15,1.8600804453282052e-07,30.994951827984035,tfim,20,1.0,1.0,64
10,16,1.7210865206440495e-07,31.15027972304264,tfim,20,1.0,1.0,64
10,17,7.269855398373933e-08,32.87388868557431,tfim,20,1.0,1.0,64
10,18,5.541293196861492e-08,33.416905682794244,tfim,20,1.0,1.0,64
10,19,2.3406141122004948e-08,35.140534815806156,tfim,20,1.0,1.0,64
10,20,2.2004523030408497e-08,35.264035624856,tfim,20,1.0,1.0,64
10,21,1.1621698758903683e-08,36.540783807062034,tfim,20,1.0,1.0,64
10,22,9.294726090564247e-09,36.987637369355944,tfim,20,1.0,1.0,64
10,23,4.908329046446996e-09,38.26466453893332,tfim,20,1.0,1.0,64
10,24,2.7676261863507133e-09,39.41055171318906,tfim,20,1.0,1.0,64
10,25,1.1682503481144131e-09,41.13551727273735,tfim,20,1.0,1.0,64
10,26,5.804916758503471e-10,42.534291309027665,tfim,20,1.0,1.0,64
10,27,5.070893763663171e-10,42.804667686255016,tfim,20,1.0,1.0,64
10,28,4.879097889017124e-10,42.88178117194373,tfim,20,1.0,1.0,64
10,29,2.4509832878953436e-10,44.25872328780376,tfim,20,1.0,1.0,64
10,30,2.14093520799223e-10,44.52921636657724,tfim,20,1.0,1.0,64
10,31,2.059267934736402e-10,44.60700076357112,tfim,20,1.0,1.0,64
10,32,1.7843684863075647e-10,44.8935727329809,tfim,20,1.0,1.0,64
