cut,entropy,N,m_over_g,x,chi
0,0.6008030782740704,20,0.125,4.0,64
1,0.4259916558370062,20,0.125,4.0,64
2,0.5547510811831623,20,0.125,4.0,64
3,0.4855751337043989,20,0.125,4.0,64
4,0.5319465391692537,20,0.125,4.0,64
5,0.5034601162687379,20,0.125,4.0,64
6,0.5221859037690075,20,0.125,4.0,64
7,0.5096895499116513,20,0.125,4.0,64
8,0.5187166752530701,20,0.125,4.0,64
9,0.5112569785635905,20,0.125,4.0,64
10,0.5187166752530349,20,0.125,4.0,64
11,0.5096895499116461,20,0.125,4.0,64
12,0.5221859037690275,20,0.125,4.0,64
13,0.5034601162685979,20,0.125,4.0,64
14,0.531946539169148,20,0.125,4.0,64
15,0.4855751337044024,20,0.125,4.0,64
16,0.554751081183163,20,0.125,4.0,64
17,0.42599165583700344,20,0.125,4.0,64
18,0.6008030782740716,20,0.125,4.0,64
