rank,lambda,lambda_sq,cum_weight,cut,model,N,m_over_g,x,chi
0,0.8999430852890232,0.8098975567595261,0.8098975567595261,10,schwinger,20,0.125,4.0,64
1,0.4284958082978983,0.1836086577288692,0.9935062144883953,10,schwinger,20,0.125,4.0,64
2,0.07004880890430293,0.00490683562891155,0.9984130501173069,10,schwinger,20,0.125,4.0,64
3,0.03856529567699888,0.0014872820306543486,0.9999003321479613,10,schwinger,20,0.125,4.0,64
4,0.009202238456354171,8.46811926076036e-05,0.9999850133405689,10,schwinger,20,0.125,4.0,64
5,0.003462781605449817,1.1990856447041611e-05,0.9999970041970159,10,schwinger,20,0.125,4.0,64
6,0.001437863186653049,2.067450543532061e-06,0.9999990716475594,10,schwinger,20,0.125,4.0,64
7,0.0006189021311896628,3.8303984799110663e-07,0.9999994546874074,10,schwinger,20,0.125,4.0,64
8,0.0005922011395092555,3.507021896360607e-07,0.999999805389597,10,schwinger,20,0.125,4.0,64
9,0.0004329349659036351,1.874326847019817e-07,0.9999999928222817,10,schwinger,20,0.125,4.0,64
10,6.122433010658651e-05,3.748418597000275e-09,0.9999999965707003,10,schwinger,20,0.125,4.0,64
11,3.7701461604901415e-05,1.4214002071458557e-09,0.9999999979921005,10,schwinger,20,0.125,4.0,64
12,2.5731669557727534e-05,6.621188182280819e-10,0.9999999986542193,10,schwinger,20,0.125,4.0,64
13,2.4316899064412134e-05,5.913115801088078e-10,0.9999999992455308,10,schwinger,20,0.125,4.0,64
14,1.847532017942013e-05,3.413374557320886e-10,0.9999999995868682,10,schwinger,20,0.125,4.0,64
15,1.6318279497615548e-05,2.662862457622999e-10,0.9999999998531545,10,schwinger,20,0.125,4.0,64
16,1.0558244470085124e-05,1.114765262900831e-10,0.999999999964631,10,schwinger,20,0.125,4.0,64
17,3.971140891073782e-06,1.576995997675827e-11,0.9999999999804009,10,schwinger,20,0.125,4.0,64
18,3.019542109121211e-06,9.117634548756172e-12,0.9999999999895185,10,schwinger,20,0.125,4.0,64
19,2.4882156340943285e-06,6.191217041751441e-12,0.9999999999957098,10,schwinger,20,0.125,4.0,64
20,1.2929868851678744e-06,1.671815085216122e-12,0.9999999999973815,10,schwinger,20,0.125,4.0,64
21,1.2904003418893997e-06,1.6651330423482796e-12,0.9999999999990467,10,schwinger,20,0.125,4.0,64
22,7.16481432701404e-07,5.133456434058565e-13,0.99999999999956,10,schwinger,20,0.125,4.0,64
23,5.273704732085744e-07,2.781196160122357e-13,0.9999999999998381,10,schwinger,20,0.125,4.0,64
24,2.6691479043536473e-07,7.124350535315468e-14,0.9999999999999094,10,schwinger,20,0.125,4.0,64
25,2.0615014823943677e-07,4.249788361914175e-14,0.9999999999999519,10,schwinger,20,0.125,4.0,64
26,1.1401435851422092e-07,1.2999273947409301e-14,0.9999999999999649,10,schwinger,20,0.125,4.0,64
27,9.159717169477727e-08,8.390041862482507e-15,0.9999999999999734,10,schwinger,20,0.125,4.0,64
28,8.706899674639912e-08,7.58101019442446e-15,0.9999999999999809,10,schwinger,20,0.125,4.0,64
29,7.061657617965155e-08,4.98670083133653e-15,0.9999999999999859,10,schwinger,20,0.125,4.0,64
30,5.273289476668118e-08,2.7807581904738713e-15,0.9999999999999887,10,schwinger,20,0.125,4.0,64
31,5.155599663964343e-08,2.6580207895069245e-15,0.9999999999999913,10,schwinger,20,0.125,4.0,64
32,4.607176307391339e-08,2.122607352738809e-15,0.9999999999999934,10,schwinger,20,0.125,4.0,64
33,4.5415430226567276e-08,2.0625613026642005e-15,0.9999999999999956,10,schwinger,20,0.125,4.0,64
34,4.0711568064657574e-08,1.6574317742832464e-15,0.9999999999999972,10,schwinger,20,0.125,4.0,64
35,4.06534747275446e-08,1.6527050074231077e-15,0.9999999999999989,10,schwinger,20,0.125,4.0,64
36,1.9695665108767976e-08,3.8791922407674026e-16,0.9999999999999992,10,schwinger,20,0.125,4.0,64
37,1.728895090355001e-08,2.9890782334536273e-16,0.9999999999999996,10,schwinger,20,0.125,4.0,64
38,1.2385852854689956e-08,1.5340935093803135e-16,0.9999999999999997,10,schwinger,20,0.125,4.0,64
39,8.241231459165965e-09,6.791789596354677e-17,0.9999999999999998,10,schwinger,20,0.125,4.0,64
40,8.179437138816513e-09,6.690319190785086e-17,0.9999999999999999,10,schwinger,20,0.125,4.0,64
41,6.547266599230348e-09,4.2866699921397323e-17,0.9999999999999999,10,schwinger,20,0.125,4.0,64
42,5.295735104025788e-09,2.804481029201102e-17,0.9999999999999999,10,schwinger,20,0.125,4.0,64
43,2.7166713374715827e-09,7.380303155839637e-18,0.9999999999999999,10,schwinger,20,0.125,4.0,64
44,2.3186581636273003e-09,5.376175679755525e-18,0.9999999999999999,10,schwinger,20,0.125,4.0,64
45,1.6016877400461579e-09,2.5654036166141684e-18,0.9999999999999999,10,schwinger,20,0.125,4.0,64
46,1.4208666516440292e-09,2.0188620417541147e-18,0.9999999999999999,10,schwinger,20,0.125,4.0,64
47,1.3714936096011181e-09,1.8809947211767043e-18,0.9999999999999999,10,schwinger,20,0.125,4.0,64
48,1.216621468684152e-09,1.4801677980631828e-18,0.9999999999999999,10,schwinger,20,0.125,4.0,64
49,9.153408374987061e-10,8.378488487928327e-19,0.9999999999999999,10,schwinger,20,0.125,4.0,64
50,6.416664318894307e-10,4.117358098137134e-19,0.9999999999999999,10,schwinger,20,0.125,4.0,64
51,5.639535352102334e-10,3.180435898761199e-19,0.9999999999999999,10,schwinger,20,0.125,4.0,64
52,5.156605024513901e-10,2.659057537884201e-19,0.9999999999999999,10,schwinger,20,0.125,4.0,64
53,4.1123900506992616e-10,1.6911751929090276e-19,0.9999999999999999,10,schwinger,20,0.125,4.0,64
54,3.7804488265426174e-10,1.4291793330107454e-19,0.9999999999999999,10,schwinger,20,0.125,4.0,64
