rank,lambda,lambda_sq,cum_weight,cut,model,N,J,g,chi
0,0.920037691545634,0.8464693538646191,0.8464693538646191,10,tfim,20,1.0,1.0,64
1,0.3886238976249482,0.15102853380520623,0.9974978876698253,10,tfim,20,1.0,1.0,64
2,0.04597384244434637,0.0021135941890975843,0.9996114818589229,10,tfim,20,1.0,1.0,64
3,0.01941934988500222,0.00037711114995613574,0.999988593008879,10,tfim,20,1.0,1.0,64
4,0.003104631505433997,9.638736784533366e-06,0.9999982317456635,10,tfim,20,1.0,1.0,64
5,0.0013113962692953478,1.7197601751217564e-06,0.9999999515058386,10,tfim,20,1.0,1.0,64
6,0.00015513694814229577,2.4067472678905366e-08,0.9999999755733113,10,tfim,20,1.0,1.0,64
7,0.00013049790228633122,1.702970250113285e-08,0.9999999926030139,10,tfim,20,1.0,1.0,64
8,6.552984296874838e-05,4.2941603195088216e-09,0.9999999968971742,10,tfim,20,1.0,1.0,64
9,5.512231052800359e-05,3.0384691179456556e-09,0.9999999999356434,10,tfim,20,1.0,1.0,64
10,6.5209174106655264e-06,4.2522363876720795e-11,0.9999999999781657,10,tfim,20,1.0,1.0,64
11,3.444283319248444e-06,1.186308758325308e-11,0.9999999999900288,10,tfim,20,1.0,1.0,64
12,2.7544353451281235e-06,7.586914070491085e-12,0.9999999999976157,10,tfim,20,1.0,1.0,64
13,1.4548650295526063e-06,2.116632254215106e-12,0.9999999999997323,10,tfim,20,1.0,1.0,64
14,4.403599987921374e-07,1.9391692853621124e-13,0.9999999999999263,10,tfim,20,1.0,1.0,64
15,1.8600804453282052e-07,3.459899263092374e-14,0.9999999999999609,10,tfim,20,1.0,1.0,64
16,1.7210865206440495e-07,2.96213881154264e-14,0.9999999999999906,10,tfim,20,1.0,1.0,64
17,7.269855398373933e-08,5.285079751326662e-15,0.9999999999999959,10,tfim,20,1.0,1.0,64
18,5.541293196861492e-08,3.0705930293583456e-15,0.999999999999999,10,tfim,20,1.0,1.0,64
19,2.3406141122004948e-08,5.478474422232111e-16,0.9999999999999996,10,tfim,20,1.0,1.0,64
20,2.2004523030408497e-08,4.841990337957779e-16,1.0,10,tfim,20,1.0,1.0,64
21,1.1621698758903683e-08,1.350638820427034e-16,1.0000000000000002,10,tfim,20,1.0,1.0,64
22,9.294726090564247e-09,8.639193309861573e-17,1.0000000000000002,10,tfim,20,1.0,1.0,64
23,4.908329046446996e-09,2.4091694028195278e-17,1.0000000000000002,10,tfim,20,1.0,1.0,64
24,2.7676261863507133e-09,7.659754707374194e-18,1.0000000000000002,10,tfim,20,1.0,1.0,64
25,1.1682503481144131e-09,1.3648088758694475e-18,1.0000000000000002,10,tfim,20,1.0,1.0,64
26,5.804916758503471e-10,3.3697058573154444e-19,1.0000000000000002,10,tfim,20,1.0,1.0,64
27,5.070893763663171e-10,2.5713963562358045e-19,1.0000000000000002,10,tfim,20,1.0,1.0,64
28,4.879097889017124e-10,2.380559621061136e-19,1.0000000000000002,10,tfim,20,1.0,1.0,64
29,2.4509832878953436e-10,6.007319077542269e-20,1.0000000000000002,10,tfim,20,1.0,1.0,64
30,2.14093520799223e-10,4.583603564820733e-20,1.0000000000000002,10,tfim,20,1.0,1.0,64
31,2.059267934736402e-10,4.2405844270335263e-20,1.0000000000000002,10,tfim,20,1.0,1.0,64
32,1.7843684863075647e-10,3.18397089492755e-20,1.0000000000000002,10,tfim,20,1.0,1.0,64
