time,rank,schmidt_proxy_from_rhoA,p_eig,cum_weight,cut,channel,gamma,model,N,m_over_g,x
0.0,0,0.9473440247845994,0.8974607012950838,0.8974607012950838,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
0.0,1,0.30630562679815265,0.09382313700820916,0.9912838383032929,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
0.0,2,0.08579969107544792,0.007361586988642297,0.9986454252919352,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
0.0,3,0.03675984997793995,0.0013512865704006518,0.9999967118623359,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
0.0,4,0.0016733625571716925,2.800142247744186e-06,0.9999995120045836,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
0.0,5,0.0005090109227458576,2.590921194745894e-07,0.999999771096703,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
0.0,6,0.0003323167306006589,1.1043440943711091e-07,0.9999998815311124,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
0.0,7,0.00027106066314217745,7.347388310307699e-08,0.9999999550049955,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
0.0,8,0.00016975375693410418,2.8816337993242924e-08,0.9999999838213335,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
0.0,9,0.0001261968517365278,1.592564538821118e-08,0.9999999997469788,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
0.0,10,9.24537837965398e-06,8.547702138297325e-11,0.9999999998324559,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
0.0,11,8.646897130617902e-06,7.47688299874881e-11,0.9999999999072248,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
0.0,12,8.63872112426062e-06,7.462750266274666e-11,0.9999999999818523,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
0.0,13,4.0555716383931796e-06,1.6447661314139137e-11,0.9999999999982999,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
0.0,14,1.303827207888904e-06,1.699965388031375e-12,0.9999999999999999,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
3.0,0,0.7663183317021345,0.5872437855027426,0.5872437855027426,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
3.0,1,0.6185285137475038,0.382577522318696,0.9698213078214386,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
3.0,2,0.1064745115147791,0.011336821602310828,0.9811581294237495,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
3.0,3,0.1046886669886125,0.010959716995852605,0.9921178464196021,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
3.0,4,0.05681156054933692,0.003227553412050975,0.995345399831653,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
3.0,5,0.050467431028895365,0.0025469615946563107,0.9978923614263093,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
3.0,6,0.03265981202645746,0.0010666633216035353,0.9989590247479129,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
3.0,7,0.02185151359583271,0.00047748864642886175,0.9994365133943417,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
3.0,8,0.014714042653906556,0.00021650305122098147,0.9996530164455627,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
3.0,9,0.011253716648324951,0.00012664613840078617,0.9997796625839634,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
3.0,10,0.008647201000746622,7.477408514731338e-05,0.9998544366691108,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
3.0,11,0.006161599670300445,3.796531049704655e-05,0.9998924019796078,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
3.0,12,0.0058625762906147445,3.436980076327814e-05,0.9999267717803711,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
3.0,13,0.005114205215003082,2.615509498116472e-05,0.9999529268753523,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
3.0,14,0.004516936296899972,2.0402713510252426e-05,0.9999733295888625,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
3.0,15,0.003160636570825225,9.989623532837837e-06,0.9999833192123954,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
3.0,16,0.00255536593723265,6.5298950731689e-06,0.9999898491074686,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
3.0,17,0.0021214014912353317,4.500344287015489e-06,0.9999943494517556,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
3.0,18,0.001236652514158842,1.5293094407753848e-06,0.9999958787611963,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
3.0,19,0.0011650226443186671,1.3572777617752596e-06,0.9999972360389581,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
3.0,20,0.0009169469180243585,8.407916504743696e-07,0.9999980768306086,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
3.0,21,0.0008543216361462112,7.298654579875393e-07,0.9999988066960666,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
3.0,22,0.000659746943925693,4.3526603001929155e-07,0.9999992419620966,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
3.0,23,0.0005895108992675595,3.475231003552467e-07,0.999999589485197,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
3.0,24,0.00047457663407851543,2.2522298161329316e-07,0.9999998147081786,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
3.0,25,0.0002803015305128917,7.856894800786955e-08,0.9999998932771266,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
3.0,26,0.00019452336662535596,3.783934016326265e-08,0.9999999311164668,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
3.0,27,0.0001932808965803428,3.735750498290117e-08,0.9999999684739718,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
3.0,28,0.00016802907100077358,2.823376870138301e-08,0.9999999967077404,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
3.0,29,5.2451684336552964e-05,2.7511791897413955e-09,0.9999999994589196,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
3.0,30,1.9332467501427707e-05,3.7374429969375847e-10,0.9999999998326639,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
3.0,31,1.2935844345876112e-05,1.6733606894073495e-10,0.9999999999999999,4,charge_dephasing,0.0,schwinger,10,0.125,4.0
