sector,weight,cum_weight,shannon_contribution,n_schmidt,cut,model,N,m_over_g,x,chi,mass_label,intrasector_entropy,weighted_intrasector_entropy
q0,0.8057047815776794,0.8057047815776794,0.17406275253853543,21,9,schwinger,20,0.05,4.0,64,m/g=0.05,0.019521412108223023,0.015728495078743698
q-2,0.18715392206553957,0.992858703643219,0.313637013339501,18,9,schwinger,20,0.05,4.0,64,m/g=0.05,0.00451760260772805,0.0008454870463698138
q2,0.0071280967988554805,0.9999868004420746,0.03523925061643281,13,9,schwinger,20,0.05,4.0,64,m/g=0.05,0.0011468043067272193,8.17453210769597e-06
q-4,1.3197504003708825e-05,0.9999999979460783,0.000148280329723325,7,9,schwinger,20,0.05,4.0,64,m/g=0.05,0.00020115341145031919,2.654722952975276e-09
q4,2.053920389582593e-09,0.9999999999999987,4.108562831779673e-08,4,9,schwinger,20,0.05,4.0,64,m/g=0.05,8.180702585693915e-05,1.680251184186777e-13
q-6,1.730269323786103e-15,1.0000000000000004,5.881271827361781e-14,1,9,schwinger,20,0.05,4.0,64,m/g=0.05,-0.0,-0.0
q0,0.8104782054964675,0.8104782054964675,0.17030645669157818,21,9,schwinger,20,0.08,4.0,64,m/g=0.08,0.017070450075825677,0.013835227744472232
q-2,0.18312480540176668,0.9936030108982342,0.3108703552938139,18,9,schwinger,20,0.08,4.0,64,m/g=0.08,0.004106541125690426,0.0007520095445164111
q2,0.006385342243802596,0.9999883531420368,0.03226992457599411,13,9,schwinger,20,0.08,4.0,64,m/g=0.08,0.0010608381437138144,6.773814612892948e-06
q-4,1.1645305517713441e-05,0.9999999984475545,0.00013229774426123895,7,9,schwinger,20,0.08,4.0,64,m/g=0.08,0.00019379420770672238,2.2567927563079988e-09
q4,1.552444372394464e-09,0.9999999999999989,3.148890472621634e-08,4,9,schwinger,20,0.08,4.0,64,m/g=0.08,8.106364332557041e-05,1.2584679688657382e-13
q-6,1.3729080649854327e-15,1.0000000000000002,4.6983447314388375e-14,1,9,schwinger,20,0.08,4.0,64,m/g=0.08,-0.0,-0.0
q0,0.8179176027080082,0.8179176027080082,0.16439626697381388,21,9,schwinger,20,0.125,4.0,64,m/g=0.125,0.014017311567851564,0.011465005873988382
q-2,0.17661520547761192,0.9945328081856201,0.3062122453361662,17,9,schwinger,20,0.125,4.0,64,m/g=0.125,0.0035650990445765134,0.0006296507003059189
q2,0.005457652314353278,0.9999904604999733,0.028438388450257025,13,9,schwinger,20,0.125,4.0,64,m/g=0.125,0.0009402863551283277,5.131756002220926e-06
q-4,9.538469938144496e-06,0.9999999989699114,0.00011026640526966763,7,9,schwinger,20,0.125,4.0,64,m/g=0.125,0.0001836171042431775,1.7514262289526927e-09
q4,1.0300878042253683e-09,0.9999999999999992,2.1316247432694416e-08,4,9,schwinger,20,0.125,4.0,64,m/g=0.125,7.857983775088019e-05,8.094413252518987e-14
q-6,9.460278282523738e-16,1.0000000000000002,3.272713236312576e-14,1,9,schwinger,20,0.125,4.0,64,m/g=0.125,-0.0,-0.0
q0,0.8303804455007417,0.8303804455007417,0.15434390546915927,19,9,schwinger,20,0.2,4.0,64,m/g=0.2,0.010201984233399653,0.008471528212721947
q-2,0.16534480881207606,0.9957252543128178,0.2975747288933902,17,9,schwinger,20,0.2,4.0,64,m/g=0.2,0.0028206446135275714,0.0004663789443505284
q2,0.004268055545850582,0.9999933098586684,0.023289058793404635,11,9,schwinger,20,0.2,4.0,64,m/g=0.2,0.0007663212382589054,3.2707016108540066e-06
q-4,6.689610297299726e-06,0.9999999994689657,7.970640523872197e-05,7,9,schwinger,20,0.2,4.0,64,m/g=0.2,0.00016756406341139106,1.1209382840542259e-09
q4,5.310340147934792e-10,0.9999999999999997,1.1340865992138268e-08,3,9,schwinger,20,0.2,4.0,64,m/g=0.2,7.207160366095683e-05,3.827247304468232e-14
q-6,4.824604416104736e-16,1.0000000000000002,1.7015237667634926e-14,1,9,schwinger,20,0.2,4.0,64,m/g=0.2,-0.0,-0.0
